"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2023","2023",1546,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2024","2024",1506,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2019","2019",1760,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2020","2020",1578,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2021","2021",1643,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2022","2022",1530,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2023","2023",1568,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2024","2024",1566,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2019","2019",871,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2020","2020",743,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2021","2021",801,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2022","2022",719,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2023","2023",754,,
"ITD44","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2024","2024",765,,
"ITD43","Gorizia","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2019","2019",1063,,
